timestamp,config,threads,run_type,thermal_status_start,battery_pct_start,thermal_status_end,end_to_end_latency_s,init_total_ms,time_to_first_token_s,prefill_tokens,prefill_speed_tok_s,decode_tokens,decode_speed_tok_s,peak_rss_kb,cpu_pct,validity,exclusion_reason
2026-08-14T19:16:35,threads_1,1,warmup,1,69,1,29.201,4473.66,6.29,447,72.37,163,9.18,2265180,97.8,valid,
2026-08-14T19:17:12,threads_1,1,warmup,1,69,1,31.519,4833.49,6.69,447,67.97,163,8.81,2271484,94.8,valid,
2026-08-14T19:19:21,threads_1,1,warmup,1,68,1,31.55,4704.88,6.39,447,71.19,163,9.06,2235716,94.1,valid,
2026-08-14T19:20:01,threads_1,1,warmup,1,68,1,34.01,5167.72,6.93,447,65.63,163,8.32,2154244,94.9,valid,
2026-08-14T19:21:38,threads_1,1,warmup,1,67,1,30.218,4930.02,6.35,447,71.7,163,8.97,2142576,96.1,valid,
2026-08-14T19:22:58,threads_1,1,valid,1,67,1,30.09,4472.72,6.37,447,71.36,163,9.13,2153124,98.0,valid,
2026-08-14T19:23:37,threads_1,1,valid,1,66,1,33.042,5031.41,7.1,447,64.0,163,8.4,2143860,94.6,valid,
2026-08-14T19:24:23,threads_1,1,valid,1,66,1,39.649,5709.53,8.41,447,54.12,163,6.61,2141660,97.8,valid,
2026-08-14T19:25:11,threads_1,1,valid,1,66,1,41.91,6443.56,8.46,447,53.79,163,6.53,2151268,95.6,valid,
2026-08-14T19:26:03,threads_1,1,valid,1,65,1,44.54,6179.18,9.4,447,48.39,163,6.04,2153556,96.8,valid,
2026-08-14T19:26:57,threads_1,1,valid,1,65,1,46.693,6178.97,11.53,447,39.31,163,6.15,2150916,95.6,valid,
2026-08-14T19:27:50,threads_1,1,valid,1,65,1,46.975,6184.18,10.19,447,44.63,163,5.77,2155136,96.3,valid,
2026-08-14T19:28:39,threads_1,1,valid,1,64,1,43.24,5902.35,8.34,447,54.72,163,5.85,2157424,97.3,valid,
2026-08-14T19:29:27,threads_1,1,valid,1,64,1,42.116,6064.42,8.48,447,53.71,163,6.19,2146784,97.4,valid,
2026-08-14T19:30:21,threads_1,1,valid,1,64,1,47.361,6388.86,11.44,447,39.65,163,5.96,2155192,96.7,valid,
2026-08-14T19:31:13,threads_1,1,valid,1,63,1,46.372,6279.94,10.68,447,42.56,163,5.78,2153404,95.8,valid,
2026-08-14T19:32:00,threads_1,1,valid,1,63,1,41.087,6274.92,7.78,447,58.6,163,6.39,2150436,96.2,valid,
2026-08-14T19:32:51,threads_1,1,valid,1,63,1,44.532,6393.72,9.22,447,49.4,163,5.86,2136312,97.4,valid,
2026-08-14T19:33:49,threads_1,1,valid,1,62,2,52.479,7396.92,13.44,447,33.7,163,5.6,2265416,95.3,valid,
2026-08-14T19:35:57,threads_1,1,valid,1,62,1,30.419,4521.1,6.29,447,72.28,163,9.18,2283496,97.2,valid,
2026-08-14T19:36:37,threads_1,1,valid,1,61,1,34.365,5197.17,7.15,447,63.61,163,8.01,2283848,97.4,valid,
2026-08-14T19:38:44,threads_1,1,valid,1,61,1,29.167,4438.0,6.23,447,73.03,163,9.19,2269436,96.7,valid,
2026-08-14T19:39:23,threads_1,1,valid,1,60,1,32.845,4918.91,7.01,447,64.87,163,8.16,2277976,98.1,valid,
2026-08-14T19:40:12,threads_1,1,valid,1,60,1,43.066,5747.19,11.16,447,40.59,163,6.55,2282664,96.7,valid,
2026-08-14T19:41:04,threads_1,1,valid,1,60,1,45.831,6016.45,11.11,447,40.86,163,5.97,2275064,97.7,valid,
2026-08-14T19:41:51,threads_1,1,valid,1,59,1,40.897,6007.54,8.7,447,52.27,163,6.68,2268148,96.4,valid,
2026-08-14T19:42:31,threads_1,1,valid,1,59,1,33.319,5572.11,7.48,447,60.68,163,8.51,2260420,96.2,valid,
2026-08-14T19:43:09,threads_1,1,valid,1,59,1,31.644,5184.46,6.84,447,66.45,163,8.71,2256840,97.4,valid,
2026-08-14T19:43:47,threads_1,1,valid,1,58,1,32.421,5212.21,6.92,447,65.72,163,8.73,2259580,97.0,valid,
2026-08-14T19:44:25,threads_1,1,valid,1,58,1,31.62,5412.1,6.8,447,66.81,163,8.86,2252812,96.3,valid,
2026-08-14T19:45:03,threads_1,1,valid,1,58,1,32.187,5224.15,6.79,447,66.94,163,8.73,2256476,94.7,valid,
2026-08-14T19:45:43,threads_1,1,valid,1,57,1,33.836,5465.93,7.3,447,62.23,163,8.6,2258504,95.6,valid,
2026-08-14T19:46:21,threads_1,1,valid,1,57,1,32.008,5025.11,7.03,447,64.63,163,8.61,2261088,97.6,valid,
2026-08-14T19:47:00,threads_1,1,valid,1,56,1,32.411,5181.11,6.84,447,66.5,163,8.48,2238504,97.4,valid,
2026-08-14T19:47:38,threads_1,1,valid,1,56,1,31.95,5104.38,6.79,447,66.96,163,8.69,2237940,97.6,valid,
